,Rank,Team,Simulated Win %,Score
0,1,Michigan,92.3,27.812683550902797
1,2,Penn State,90.4,24.69803987031628
2,3,Oklahoma,84.6,21.781615203493306
3,4,Ohio State,78.8,19.52181208435965
4,5,Washington,75.0,21.546554095259054
5,6,Oregon,71.2,23.913445650485443
6,7,Texas,71.2,23.26334162387944
7,8,Utah,69.2,25.174316045234804
8,9,Oregon State,63.5,14.85288382579887
9,10,Notre Dame,53.8,18.653145152433897
10,11,Tennessee,50.0,14.570389302333036
11,12,Alabama,46.2,18.263920838944976
12,13,Florida State,46.2,16.420649786809033
13,14,LSU,40.4,19.43327780613536
14,15,Fresno State,38.5,17.584919426802415
15,16,Clemson,38.5,15.908360470992477
16,17,Ole Miss,36.5,16.84415547933247
17,18,Georgia,36.5,21.583115843810692
18,19,Florida,34.6,18.461994968199324
19,20,Duke,32.7,17.860761668212643
20,21,USC,30.8,16.304398998771063
21,22,North Carolina,19.2,19.184341364486222
22,23,Washington State,15.4,15.771025993456428
23,24,Missouri,15.4,16.996243011811284
24,25,Kansas,15.4,9.294080129686124
25,26,Miami,3.8,13.107437956411953
